id,label,text,source,char_count,word_count,avg_word_len,digit_count,uppercase_ratio,exclamation_count,has_exclamation,question_count,contains_no,first_second_pronoun_count,log_length,has_url,has_phone,has_money,urgent_terms,action_terms,credential_terms,request_terms,social_engineering_terms,khmer_chars,khmer_credential_terms,khmer_request_terms,khmer_social_engineering_terms,credential_request,scam_word_hits,safe_word_hits,scam_word_density,safe_word_density
safe_00001,safe,The project presentation is scheduled for next Thursday. Let's practice. Thanks! (917),provided,86,12,5.833333333333333,3,0.06060606060606061,1,1,0,0,0,4.454347296253507,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0.16666666666666666,0.3333333333333333
safe_00002,safe,សូមអរគុណសម្រាប់ការគាំទ្រ និងការជឿជាក់លើសេវាកម្មរបស់យើងខ្ញុំ។ ជម្រាបលា។ (138),provided,76,69,1.0289855072463767,3,0.0,0,0,0,0,0,4.330733340286331,0,0,0,0,0,0,0,0,68,0,0,0,0,66,65,0.9565217391304348,0.9420289855072463
safe_00003,safe,Don't forget to submit the Python assignment before midnight. Have a great day. (244),provided,85,13,5.153846153846154,3,0.046875,0,0,0,0,0,4.442651256490317,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4,0.0,0.3076923076923077
safe_00004,safe,មេរៀនថ្ងៃនេះពិបាកយល់បន្តិច ចាំយប់ឡើងមកពិភាក្សានៅក្នុងគ្រុបបន្ថែម។ ជម្រាបលា។ (377),provided,81,74,1.027027027027027,3,0.0,0,0,0,0,0,4.394449154672439,0,0,0,0,0,0,0,0,73,0,0,0,0,71,71,0.9594594594594594,0.9594594594594594
safe_00005,safe,សួស្តីមិត្តភក្តិ! ស្អែកជួបគ្នានៅសាលាវិទ្យាស្ថានបច្ចេកវិទ្យាកម្ពុជាម៉ោង ៨ ព្រឹក។ ជម្រាបលា។ (607),provided,95,86,1.0232558139534884,4,0.0,1,1,0,0,0,4.553876891600541,0,0,0,0,0,0,0,0,84,0,0,0,0,80,81,0.9302325581395349,0.9418604651162791
safe_00006,safe,បាទបង! ខ្ញុំបានផ្ញើឯកសាររបាយការណ៍ទៅតាមអ៊ីមែលរួចរាល់ហើយ។ សូមពិនិត្យមើល។ (398),provided,76,68,1.0294117647058822,3,0.0,1,1,0,0,0,4.330733340286331,0,0,0,0,0,0,0,0,67,0,1,0,0,63,65,0.9264705882352942,0.9558823529411765
safe_00007,safe,សួស្តីមិត្តភក្តិ! ស្អែកជួបគ្នានៅសាលាវិទ្យាស្ថានបច្ចេកវិទ្យាកម្ពុជាម៉ោង ៨ ព្រឹក។ សូមអរគុណ។ (648),provided,95,86,1.0232558139534884,4,0.0,1,1,0,0,0,4.553876891600541,0,0,0,0,0,0,0,0,84,0,0,0,0,80,81,0.9302325581395349,0.9418604651162791
safe_00008,safe,ចាសបង! ចាំខ្ញុំប្រាប់គាត់ឱ្យទាក់ទងទៅបងវិញនៅពេលបន្តិចទៀតនេះ។ បាទបង! (922),provided,72,63,1.0317460317460319,3,0.0,2,1,0,0,0,4.276666119016055,0,0,0,0,0,0,0,0,62,0,1,0,0,61,60,0.9682539682539683,0.9523809523809523
safe_00009,safe,កុំភ្លេចផ្ញើឯកសារ Word មកឱ្យខ្ញុំតាមតេឡេក្រាមផងបង។ ជម្រាបលា។ (679),provided,66,55,1.0909090909090908,3,0.027777777777777776,0,0,0,0,0,4.189654742026425,0,0,0,0,0,0,0,0,53,0,1,0,0,50,51,0.9090909090909091,0.9272727272727272
safe_00010,safe,"Hello professor, I have uploaded my research proposal draft to the system. Best regards. (979)",provided,94,14,5.285714285714286,3,0.041666666666666664,0,0,0,0,2,4.543294782270004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,0.35714285714285715
