id,label,text,scam_type,language,source,collection_method
uci_sms_00001,safe,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00002,safe,Ok lar... Joking wif u oni...,safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00003,scam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,spam_or_unspecified,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00004,safe,U dun say so early hor... U c already then say...,safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00005,safe,"Nah I don't think he goes to usf, he lives around here though",safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00006,scam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv",spam_or_unspecified,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00007,safe,Even my brother is not like to speak with me. They treat me like aids patent.,safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00008,safe,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00009,scam,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,spam_or_unspecified,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00010,scam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,spam_or_unspecified,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00011,safe,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00012,scam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",spam_or_unspecified,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00013,scam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",spam_or_unspecified,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00014,safe,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00015,safe,I HAVE A DATE ON SUNDAY WITH WILL!!,safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00016,scam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",spam_or_unspecified,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00017,safe,Oh k...i'm watching here:),safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00018,safe,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00019,safe,Fine if thats the way u feel. Thats the way its gota b,safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00020,scam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+",spam_or_unspecified,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00021,safe,Is that seriously how you spell his name?,safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00022,safe,I‘m going to try for 2 months ha ha only joking,safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00023,safe,So ü pay first lar... Then when is da stock comin...,safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00024,safe,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00025,safe,Ffffffffff. Alright no way I can meet up with you sooner?,safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00026,safe,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
